text_review,star_rating,lr_prediction,svm_prediction,rf_prediction,gb_prediction,nb_prediction,nn_feedforward_prediction,nn_lstm_prediction,roberta_prediction
"Totally sufficient for a few rounds of pool or darts while keeping an eye on the 67 tv screens they have mounted on the walls.

Just stick to the cheap pitchers of domestic beer. I ordered a rum and coke and it tasted like cleaning products. 

I would come back, but only if I didn't feel like driving all the way to Lucky Break in Tempe.",3,1,1,4,4,2,2,3,3
"short leash is awesome! we tried the sample platter and they delivered it to us inside the bar. we were also given an additional sample tray to try for free. everything was delicious and had a very unique take on a common american snack. 

I can't wait until they come back!",5,5,5,5,5,4,5,5,5
"Visited the phoenix public market - open air market - farmers market they have on saturday mornings and decided to give mojo bowl a try! They are at the market for food truck fridays also. Check out their website for their usual schedule. They can take cash or credit (with square).

I tried their strawberry banana smoothie and my wife had the Funky Monkey (peanut butter / chocolate blend). They were both great quality with fresh ingrediants. They serve salads, yogurt parfaits, and soup also (which I didn't try) but Ive heard their smoothies was where they shine and they did not dissapoint. Give them a try, at $5.00 for a 24 oz smoothie, you can't really complain about the price - its basically a meal itself.",5,4,4,5,4,4,4,3,4
"Our bartender was rude and impersonal, to start. When my wife ordered a diet coke, you could see her disdain. We saw her once more, when she took our food order, after which she sat in the corner and ate. The remaining staff dropped off our food without a word, and never came back; in fact, I had to flag down the manager to get cashed out. The food was sub par. My wife's Shepard pie was all mashed potatoes, and my chicken strips were incorrect and with the wrong side. Also, my fries were soggy because they had been placed over excess sauce. 

Poor food, awful service, overpriced beer. Visit the Kyrene location or don't go at all.",1,1,1,1,1,1,1,1,1
"Had an outstanding lunch here.  The view is amazing, their cheese fondue dip was delicious, and they serve up a tasty burger.

I definitely recommend it and would come back in a heartbeat on my next visit to Phoenix.",4,5,5,5,5,4,5,5,5
Good place and food I'd very good for bar food. A bit pricey but good atmosphere. Great service.,4,4,4,4,4,4,4,4,4
"I've swung into Echo a few times and haven't ever had a bad cup of coffee. The cappuccino is pretty solid and the zucchini bread I had for breakfast one day was a win. If I recall correctly it came in a cute little box too.

For some reason I've never been able to feel relaxed and at home enough to chill and enjoy an afternoon or evening there. Not sure why, but just haven't.",3,5,5,4,4,3,4,3,4
"i love lgo and have to stop myself from going there more than i already do. while their pizza is delicious and the commuter sandwich is bomb.com, i really go in for the sweet treats like crack cake, brownies and salted chocolate chip cookies. on top of the food, the atmosphere is great and they have an assortment of treasures in the shop. only 4 stars since they keep the music too loud for me to want to stay too long and parking stinks if i want to go outside oft he hours of 9 - 11.",4,4,4,5,4,4,5,5,4
I went there on March 7th in the late afternoon.  My friend ordered before me and got a burger meal.  AND THE POWER WENT OUT RIGHT AS I WAS ORDERING!!  My friend ordered about 5 minutes before me so I got to eat some of her steak fries....the were awesome!!  Other than that not much else to say.  Gotta try them again some time.  The Nutter Butter Shake looked full of calories but delicious.  Better luck next time!,3,1,4,5,5,2,3,3,4
"I finally made it to this place after hearing nothing but great reviews from others.  Now I can see why it is held in such high regard.  If you are a fan of Paradise Bakery, this place is better...hands down.  At first glance, it appears to be identical, but on closer look it wins in two important categories.  First, the vast menu blows away the Paradise selection of ""like 3 items""  There are countless sandwhiches, salads, soups and deserts.  Second of all, the prices are incredible.  It is very affordable for the quality and quantity of food.  Finally, the food is excellent.   Not that I have a problem with Paradise, but given the choice, Wildflower wins every time..",4,4,5,4,5,3,4,3,5
"The best example North Scottsdale has of traditional Phoenix sonoran mexican food.  Los Olivos restaurants have been around forever - at least since the '60's.  The food is great if not fancy, and the place is pretty free of gimmicks.  You can get your fix of cheese crisps (aka quesadillas for you CA transplants), deep fried tacos, chimichangas, combination plates with so much sauce and cheese you can't tell what's underneath but it all works together to taste so good.  Los Olivos still plops down the free chips and salsa right when you sit down so you're good an full when that combo plate comes and glad for it.  The atmosphere is more like a nice mexican diner than mexican cantina and service is solid. They often have mariachis playing on weekend nights.  Margaritas aren't great, but the beer is cold.  Don't bother with dessert.  Cheap eats for all the food, especially since you won't be hungry for another 24 hours.  If you're in North Scottsdale and in the mood for traditional Phoenix style mexican food, Los Olivos is a great choice.",3,4,4,4,5,4,4,4,4
"Very good food! We ate some shrimp tacos and macaroni and cheese. They split our tacos up for us and didn't charge for it...the portions were great too!

Our server was friendly as well. Would definitely return!",4,4,5,4,4,4,4,4,4
"We were staying at the Claredon and the desk clerk (who is also from Yuma) told us that their restaurant was voted best Mex in Phoenix and she swore it was true so we had to try it.

The elote (roasted corn with cheese and smokey paprika) was fab, as was the ceviche! The carne asasda taco was tasty, as so many have already said. The real stars, however, were the pork belly and vegie tacos. I'll be dreaming about those til our next trip north.",5,4,4,4,4,3,4,4,4
"I see a few of the previous reviews discussing issues with service, but I have always had good service at this place.  I have only been in a handful of times, but we never have to wait very long to be helped, and the staff is very friendly.
I have only ordered salads there, but I've enjoyed the three that I've tried (Maggie's, Jamaican Jerk Chicken, and Greek).  The salad dressing always comes on the side, which is perfect, because that is how I like to order salads (so I can control the amount of dressing.)  My husband loves the pulled pork, although it's popular and sells out pretty quickly from our experience.",4,4,4,4,4,4,4,4,4
"The 3 employees were so busy talking to each other they couldn't remember what we ordered, kept having to ask, and still didn't get it right.  In the midst of the three employees continuing in their personal chaos, my husband finally said, ""ok, time out! I'm the customer.  Make our sandwiches and then take care of your issues."". They stopped for a split second, all three looked at us, then they actually IGNORED us, finished their conversation, then finished our sandwiches.  We were the only ones in there and we really were shocked!  Good thing I like avacado, because it ended up on my sandwich & I didn't order it, and after telling the girl, she said, ""I thought you said..."". Still had the order wrong!  Whew!",1,1,1,1,4,1,1,3,1
"I had other piercings done here and then went out of state and got my nose pierced with a friend and when i got back I was having problems with it. I went in and talked to them and they changed out the stud for me gave me a discount on the jewelry and were really fun, friendly, professional and very informative. This place is top notch. Won't go to another place for my piercings again! No way! It is very clean, and these guys know their stuff! Really impressed...I could go on and on! I won't get my jewelry anywhere else either...they have a a great variety and if they don't have something you want they order it, easy peasy. Love it!",5,5,5,5,5,2,5,5,5
"What to choose, what to choose. Such difficult decisions! Seriously, this normally isn't a problem. Dispite the fact that I'm a libra, I'm very decisive. Friends usually look to me to make all sorts of decisions ::diabolical laugh:: Still, this place consistently stumps me.

Is it Tuesday? If yes, then I'm definately getting the Pork Belly Tacos.

Otherwise, I'll start with an order of Ceviche and Asado Salad.

To drink I'll have Agua Fresca de Sabor.

Yes, I'm going to have an entre too, I mean I've already broken my diet, might as well :D

I'll have the Huevos Rancheros or 3 Carne Asada Tacos or the Verduras de Temporada or the Chilaquiles Verdes or the Carne Asada Torta. OMG, so many great options! Seriously, this normally isn't a problem. Oh well, I guess I'll just have to try everything.

Next up, a euphoric food coma! Life is good.",5,3,4,4,4,3,4,4,4
"Really?  Because it doesn't get any better than this.  For what it is and for what it's worth this place is truly unique.  A slight step up from a hole in the wall type of place, this quaint spot serves up good, tasty, and satisfying food hot from the kitchen.

What is a pasty?

A pasty's history can be associated with the tin miners in England.  The story goes that these miners were covered head to toe in dust and other nasty stuff and would eat these calzone like dishes as a means to have nourishment without the need to return to the surface.  Supposedly, the miners were able to eat the pastry like food by holding onto the ""handles"" and when done, discard the tainted remains into the mine thereby appeasing the spirits that haunted the mines.

At the Cornish Pasty Co. I can first hand recommend the Chicken Pesto.  Very good flavoring and filling.  Or you can go with the more traditional route with beef, potatoes, and swede.  The sauces that come with your pasty are there to accent the flavors and are highly recommend to try as well.

Pros
* Good food
* Originality
* Portions
* Customer service
* Coat hooks at the bar

Cons
* Small interior",5,5,5,4,5,2,4,5,4
"Would have to agree with Rana A below... I think she said it best

Actually, I had several folks tell me this place was lousy before I went... it even fell below my already low expectations...

Given that I just left the real Barcelona (in Spain)- part of me was truly crying inside that night. OK, I gotta admit- everytime I tell someone I was just in Barcelona (the city) and they say ""you mean the one in Scottsdale"" there is a part of me that wants to just pack my bags and fly back...",1,2,2,2,2,2,3,1,2
"MY EXPECTATIONS WERE EXCEEDED!  I've been searching for so long to have a dinner experience that MET all of my expectations - for a restaurant that I SHOULD NEVER PATRONIZE.  Mimi's in Goodyear actually exceeded my expectations.  On Oct 26th, while visiting the area, I made the unfortunate mistake of recommending we dine at Mimi's because of previously good food and service there.  But, alas, if the old Mimi's quality still existed, they wouldn't have exceeded my expectations for WHAT NOT to experience in a restaurant.

Let me recant why YOU or ANY ONE ELSE (except those people you truly dislike) should never patronize this facility.  First of all, the interior temperature was at least 80 degrees (when it was less than 65 outside).  We had to ask for the air conditioning to be turned on.

Next, we ordered the artichoke dip appetizer.  It looked funny.  It tasted funny.  The tortilla chips actually resembled pita chips.  If it walks like a duck, quacks like a duck, it must be a ______.

I ordered the chicken cordon bleu which is supposed to be served with ""seasonal vegetables"" and ""homemade mashed potatoes"".  Can someone explain to me how MIXED seasonal vegetables can be served where the brocolli is steaming hot, but the carrots mixed with them are literally still frozen in the middle?  That's a feat.  My ""homemade"" mashed potatoes?  Cold.  A sliver of butter placed on top of the mashed potatoes would not even melt to graphically show our waitress ""the problem"" .  Even after this effort, no offer from the wait staff (or manager-missing-in-action) was ever made to either warm up the potatoes, replace them ......or, perhaps, use them as wall spackling.

After all this, they sincerely asked us if ""everything was all right"" and ""would we care to order dessert"".  At least they have a sense of humor.

Never again.",1,1,1,4,1,1,1,1,1
"These are the best, most consistent donuts in the valley.  I was always a fan of the Chandler location, so I tried this location as soon as it opened.  I was pleased that the donuts were as fresh and as varied as the other location.

I don't care if people go to dunkin for the coffee..a donut shop is about the donuts, and I haven't yet had any donuts in the valley in the same league as BoSa.",5,5,5,5,5,5,5,5,5
My dog is very difficult and they do a very good job handling her.  It did take a few times before she got comfortable with them.  I am glad I found The Doggie Door.,4,5,5,5,5,5,5,5,4
"The mall of malls, for sure! So many designer boutiques, so little time! On this trip, I was given the utmost in attention from the fabulous women at the Fossil store....what fun they were! I enjoyed a smoked chicken & black bean salad @ Z Tejas next and the service was excellent. I then perused the new styles at Aqua before finding a great pair of shades at Solstice = shopper's bliss :)
This review is a bit late; I visited the center on 1/27/12 - and I'll be back :)",5,4,4,4,4,4,4,4,4
"I've been using mineral makeup for a couple years now and Bare Escentuals is the best in my experience. You can order their stuff online as well and it's free shipping after a certain amount, but I like being able to ask questions and compare things side by side before I buy, and the salesgirls are always really helpful with that. Once I find a product I'm loyal to, then I do the online thing. This stuff just feels much better on your skin and doesn't clog your pores. It seems like an initially pricey investment when you're first getting started, but mineral make-up keeps much better and I can use less of it to achieve the effects I want.",5,2,3,5,4,2,4,4,5
Hate coffee. But love this environment.   Best public wifi I've experienced. Staff are friendly.  They even had a 3 star meal for this picky eater. Thorough enjoyed the comfort of my study session here.,4,5,5,5,5,5,5,5,5
"repeat after me:
creamy polenta covered with young brocolli stems and seared sea scallops!!!!!!!!!
yum.
repeat after me:
buratta with charred bread, heirloom tomatoes and drizzed with olive oil!!!!!!!!!
yum.
repeat after me:
asparagus, radiccio and hearts of palm salad with truffle oil!!!!!!!!!
omg yum.
repeat after me:
chicken stuffed with marscapone cheese, fig and other stuff that's really yummy!
yum.
repeat after me:
spicy spagetti with fruite de mare - clams and mussells!!!!!!!
yum.
repeat after me:
ravioli stuffed with goat cheese and other yummy stuff!!!!!
yum.
cute and attentive waitier:  yum :)

i stayed at the firesky and had dinner at taggio for two nights in a row - not by design but necessity and i'm here to report that even though i didn't choose this restaurant for both meals, i'd come back again in a heartbeat.",4,4,4,4,4,4,5,4,5
"For such a small space, Stinkweeds definitely does a good job of packing as much variety as they can in their store. As far as record stores go, they've got a pretty decent collection in both CD's and vinyl. My only qualm with this place is that they tend to only carry newer stuff or the more popular titles of indie genres. If you're like me and like to peruse through older and hard-to-find collections, be sure to check out Tracks in Wax a few blocks down the street on Central. That being said, this is definitely a place you'll want to drop into. Their selection of concert/music video DVD's is pretty solid as is what their magazine stand has to offer. Sure, it's no Amoeba but it's the next best thing.",3,4,4,4,4,3,4,5,4
I love Jimmy Johns!,5,5,5,5,5,5,5,5,5
"I am very happy to say that Angela's truffles are taking off here in Cottonwood. I hope I am allowed to say I am a proud purveyor. When they arrived I was impressed by their design and further blown away by the flavor. (Tears in my eyes...) My darling, have no fear, there are people up here who understand flavor, quality and most importantly: Great Chocolate! My beautiful patrons have latched onto these delectable wonders and I am happy to say The Cocoa Palette will always have a place in Northern AZ Wine Country with Bonne Lait! Bravo mon ami!",5,5,5,5,5,5,5,5,5
"This place is absolutely wonderful. My boyfriend and I have been here for a few special occasions and have never been dissappointed, the food is amazing and the service is just as good, our waiter was so unbelievably nice. Their steak could possibly be the best steak I have ever eaten, and their creme brulee is to die for. This place even does complimentary filet mignon sandwiches for happy hour...guarantee you will love this place just as much as we do!",5,5,5,5,5,5,5,5,5
"Yummy pancakes made from special house batter were perfectly golden, light/airy & spongy in texture, and had a subtle maple flavor even without the addition of their syrup.  Pancakes are their flagship breakfast entree, though you can choose from the many other items including omelettes, french toast, or the common 2-egg with sides combos.

This place has a local owner with a family member as the chef named Dean that is admired by most patrons.  Oh, and he's the one who makes the delicious pancakes of course.  Atmosphere is clean, sterile, and almost like an old hospital cafeteria from decades ago (notice the operating room blue colored booths).  

Patrons are almost exclusively senior citizens and the feel is relaxed, comfortable, and really is a throwback to casual breakfast spots were in the past.  Location is on the north side of Peoria just before 99th ave., not far west of the 101.  It's an older strip mall with ample parking, but down't be thrown off by the modest exterior (restaurant is to the far right when you enter the lot).

I really like this place because of the overall vibe, friendly service, and pancakes.  It's also a nice getaway from Millennials.",4,4,4,4,4,4,4,3,4
"I enjoy their Rama Chicken. Their peanut sauce is great. However, their service is slow. It is difficult to eat lunch their because it takes so long. If they improved their service my rating  would be 5 stars.",4,3,3,4,3,3,4,4,3
"Let me tell you about my first crush in Phoenix. It happened to me when I least expected. I was sitting at my small cubicle during my first job. Birthday cake graced the break room practically everyday but today was different. When I walked inside to sing an out of key version of the birthday song to my coworker, I noticed a masterpiece in front of my eyes. A white cake topped with the freshest of fruit and the creamiest of white chocolate morphed into a piece of artwork. One bite into the white cake filled with fresh strawberries and I was in lust. It later turned into love and I've been happy every since. 

I silently thank the coworker who introduced me to Honey Moon Sweets because I can't imagine life without knowing about this sweet Phoenix treat. Over the years, Honey Moon Sweets has been my go-to bakery for a special occasion. I've purchased the ""basic"" cake for birthday parties. Let me just note here that a basic cake from Honey Moon Sweets is practically a masterpiece in any other bakery's mind. When planning my sister's baby shower, I knew exactly where to go. I wanted the perfect cake and a work of art to grace the baby shower table. And behold the Honey Moon Sweets baby cake. It was three tiers, blue with rattles, pacifier, building blocks, a crib, a teddy bear...you name it filling the top. Some of the pieces were frosting creations and some were real toys. It was almost too gorgeous to eat, but we couldn't resist it so enjoyed every bite. It was just as good as it looked if not better. Honey Moon Sweets does a fabulous job of using the freshest of ingredients and you can tell upon the first bite. The scariest part of this cake adventure was the travel time from the bakery to the Biltmore for the baby shower. One wrong move and the cake would have been toast so be prepared to move lightly with this cake in hand. As you can imagine, cakes from Honey Moon Sweets are not budget-friendly, but for what you get from the cake, it's reasonably priced. Just save your coins for a special occasion because it's worth it. I promise.",5,5,5,5,5,5,4,5,5
"I really dig this place!  But I have to say, every 3rd or 4th visit to this restraunt is a miss.  Not sure why- but it is most of the time spot on.  I love the Pho- but the noodle dishes are what is off.  

Either way, the owners are super sweet and nice and it usually is never too busy.  Service is good, carry out is great as well.  Just be careful in the noodle dish category, becuase if your really hungry, (in my experience) it may miss the mark.  Order pho to be safe!",4,4,4,4,4,4,4,4,4
"They had Kool Aid! i was so happy to see it :)

The chicken and waffles were really good... my girlfriend and I went straight there from the airport, before going to our hotel, and it was completely worth it... 

yeah, waiting outside in 100 degree heat isn't ideal, but for 10 minutes you can deal with it... especially when they had someone outside giving out water

If you're ever in Phoenix like us, or live out there, definitely stop in!!!",5,5,4,5,5,1,4,3,4
"Priced Decent, Quantity Heavy. Just ordered a side of chips and got almost a pound of chips. I love chips and salsa, but this was too much than i thought. Anyway the food was good and seems to have a authentic Mexican flavor to it. Worth a short once, particularly if you are pretty hungry.",3,3,3,4,4,3,3,3,3
"I have been twice, both at lunchtime. Cute (trendy) place, sushi rolls are decent, not spectacular. Loved sitting out on the patio; however, there was a distinct smell of sewage wafting by every once in a while. Not sure where that was coming from. 

The hostesses were unfriendly. Waitresses were nice enough, but wow, S L O W service.  I mean, my God. I had nearly polished of a bottle of sake by the time the food got there (which may account for my belief that the sushi was good, lol!). Same embarrassingly slow service in getting our check to leave.

Overpriced for a lunch menu, I thought, and the calamari appetizer was a huge disappointment. It was like ... TGI Fridays or something. Just very ... sportsbar-esque. Huge, rectangular chunks of calamari, heavily battered and deep fried. What happened to light tempura and calamari rings? Isn't this a Japanese restaurant?

All in all, it was okay. I was in good company both times, and had plenty of time to spend, so the slow service was not an issue, but it could be a problem if you have other plans. I will likely go back until I am able to find a comparable or better sushi place - I'm new to Arizona.",2,2,2,4,4,2,3,3,2
"This is a pretty chill spot for drinks & bar food.  We went on a Sunday night after a big meeting that was held at the Phoenix Convention Center.  They were able to accommodate a group of about 20 of us without any issues (not a whole lot of people there).  

Their quesadillas and curly fries are quite good and I could not help reaching for the nachos again and again, but definitely avoid their Caesar salad (I know, who orders salad at a bar anyway?!)",3,3,3,4,4,3,3,3,3
"Owned by a serious, James Beard nominee, this is high taste, funky fun for killer Mexican food.  We sat at the bar, and joked with the cool bartenders for a while; all the time trying a myriad of different tacos.  Every single one was great!  This is the real deal, with a creative edge.",5,5,4,4,4,4,4,5,5
"WOW.  This places is incredible.  I can honestly say that everything on the menu is wonderful.  It's the perfect date place, since you can order booze to cure the date jitters.  Also, you can satisfy your dieting girlfriend and still order a big plate of ""man food"".  The best part about their menu is the fact that it is SO TASTY with being HEALTHY.  The extra care in picking ingredients, grilling/cooking with little fats, and unique spice combinations truly makes PJ stand out.  The decor's nod to local artists also helps make the dining room an enjoyable place to be.  For a perfect healthy and satisfying vegetarian lunch I recommend the following:  A small Greek salad with an order of the jalapeño or roasted red pepper hummus (PS:  they'll let you order the hummus half and half!)",5,5,5,4,5,4,5,5,5
"Stopped in for the first time at PV Burger Company tonight.  It was quiet, only one table when I got there around 6:20pm.  Ordered a bacon havarti burger with fries and a coke; it came out to just over 9 bucks.  

The burger came with lettuce, tomato, cucumber (???), pickled red onions, and thousand island.  It was DELICIOUS.  Beautifully toasted bun, great char on the meat.  The pickled onions were a nice touch.  The fries were skinny and crispy and had seasoned salt, which brings me back to being a kid and getting fries at the food court in the mall (good memories).  I got a refill on my coke before I left, so I don't know what another reviewer was talking about when they said there are no refills on sodas.  I asked and it was no problem.

My only gripe is that after I had ordered and sat down to wait for my food, a couple of guys came in and the guy at the counter immediately handed them paper menus (with actual descriptions of the menu items I'm sure, unlike the chalkboard on the wall), which I would have liked.  I probably would have gotten an add-on for my burger if he had given me a paper menu when I was at the counter.  Oh well, now I know for next time, because there will definitely be a next time in the near future :)",5,3,3,4,4,2,3,4,4
"Got a great deal from Home run.com and used it to find some good cigars.
Staff is friendly and very knowledgeable.",4,5,5,5,5,5,5,5,4
"Had great expectations after highly recommended by others. The breakfast was good, nothing extraordinary though. The service was a disappointment, server was very forgetful and put off by some simple requests. It doesn't look like they need my business though, considering the line to get in. I probably wont be back.",2,3,3,5,5,3,3,3,2
"Food and atmosphere, it's excellent for me. We ordered the chicken satay with peanut sauce, my husband is generally picky and only praises the American comfort foods but this time , he liked it a lot. We ordered red chicken curry and two thumbs up! I cant wait to dine in at that place again. Winner!",4,4,4,5,4,4,4,5,4
Our visit to Scottsdale brought us into Fountain Hills to look for a home. While we were there we decided to look at the beautiful fountain we heard so much about. That's when we happened upon this place. The pizza was fantastic!!! It made us want to move here even more. Delicious!,4,5,5,5,5,2,5,5,5
I loved this place! Amazing food and service. The servings are just right and very flavorful. Would highly recommend this place if you want a nice quiet dinner.,4,5,5,5,5,5,5,5,5
"I have been trying to reduce my caloric intake and found out that at Red Robin you can order a ""petite"" burger. It is smaller but has the same toppings you order on the regular. So for those of you that don't want to have a burger that is 1000 calories (yes they are and more with the endless fries) , try the petite.",4,3,2,4,4,2,4,3,4
"It takes a lot to impress me.  I hate most everything unless a place is so awesome it blows my friggin' head off.  Sign of the whale accomplished this task.  Allow me to elaborate...

The first time I went here, I received awesome service.  Did not have a bad thing to say about the place.  Was waiting for my party to arrive and sat by myself.  The bartender was awesome, started bullshitting with me and making me feel more than welcome.  The owner is always walking around the place, making sure things are cool with ALL of his customers.  Seriously, all of them.  The guy kind of reminded me of Eugene Levy from the original vacation movie.  I almost expected him to try and sell me a Metallic P.  Anyway, the guy was cool as hell.  Making sure everything was good with our food and drinks.

Now the drinks... Wow.  They don't cheap out on the pour with these bastards, and they are not overpriced for what you get.  I have no complaints about the strength of these things, and that is always my first test if a bar is worth a shit.  if you own a bar and I have talked shit about the strength of your drinks, I invite you to go to sign of the whale.  I practically challenge you, like we should meet at the flag pole after school challenge you.  Let them show you what having a dick is like and how a drink should poured.    I hooked the bartender up on the tip, he deserved it.  I would go as far to say that I would almost take a bullet for that guy.  If I had a vagina, I would probably offer to father his children.  Well, that isn't true.  If I had a vagina, I would spend all day looking at it in the mirrior, but you understand what I am getting at.  You are as sexy as a Ferrari, good sir.

The food...  Damn.  Goddamn.  Who the hell is the cook there, Emeril?Only had appetizers because they were on the cheap but between three of us we had 4 orders of appetizers and left full.  And I am fat.  Not quite Paul Blart Mall cop, but more of a Corey Haim 2007 era. 

Regardless, want a great place without giving you any shit and keeping you drunk for less, hit this place up.  It is like a high priced hooker for half off, you can't go wrong.  The only gripe I have about this place is they seem to be a Green Bay Fudgepackers bar, but I guess no one is perfect!

Hit this bitch up.",4,5,2,4,4,2,3,5,5
Great place to go have a beer and watch the game on one of there numerous televisions.,4,4,4,5,4,4,5,4,4
"This place is very good.  I have dined here for breakfast, lunch and dinner, but Sunday brunch takes the cake.  Food is all extremely fresh, and tasty.  The best time to go is when this place gets cranking, the style is smaller portions of the food, that have to be replaced very often when busy allowing for extremely fresh food.  Asian food is always good, and the gentlemen behind the line can do custom stir fry for you.  Italian station has fresh pizzas, that once again are made fresh for you, or order a custom calzone like I do.  Mexican station always has the staples, but recently had crab stuffed poblano rellenos!!!!  .  Berto's gelato with like 16 flavors is a great way to end your meal.  If you like buffets, do yourself a favor and make this your number 1!!!",5,4,5,4,4,4,5,5,4
"Came for the beer, stayed for the scenery.",5,4,1,5,4,4,4,4,3
"This is the best Pho I've found in town yet.  Good spring rolls to, the sauce was a little to runny though.  I hit this place up 3 times a month to get my vietnamese fix.",4,4,4,4,5,4,4,4,5
"A must when you visit the Heard.   The staff is very professional.     James, Lora and Allison are excellent.     The shop is first class.   Great place for a collector.      Some of the finest Native American art available.          Highly recommend a visit.       You will be amazed.",5,5,5,5,5,5,5,5,5
"Every time I visit my parents, I pass this place and see a long line of cars. Curiosity (and a good set of luggage my parents found here) finally convinced me to stop by. 

Well, it's a flea market. WYSIWYG. There's the good (nice luggage, some nice jewelry, some good foodstuffs), the bad (the same ""authentic"" Southwestern stuff you find in any gift shop from San Antonio to San Diego), and the ugly (several ""I [heart] Columbus"" Beanie Babies). 

I'll come back if I'm looking for something in particular (chiefly luggage or salsa) or want to get a souvenir for a relative I don't like very much.",3,3,3,4,4,3,4,4,3
"I found the food excellent, but keep in mind this isn't typically Mexican food this is Tex-Mex which is a whole different variety. 

Our waitress was fantastic, and talked me into getting the melted cheese on the side. It was quite tasty, indeed it has a bit of skin but generally if you cook cheese or milk included products into a liquid quickly it does get one..and personally I didn't haven't issue about it. 

The menu isn't extensive, it would be nice to have a bigger menu but with how accommodating the are, you could probably something off the wall and they'd be willing to do it.

I ordered the bean and cheese burrito, which is delicious, and large. 
Its a fatty, and I loved it. 
When asked if they cook with lard the hostess had an immediate answer and listed what they used to cook everything with. I was so happy. Most have no idea, and aren't very polite if you ask. She was very friendly like everyone else we encountered there.

I was told that the Steak was perfect, and mr.hard-to-please was filled up (had left overs) and stayed that way the rest of the night. Which was great. The salsa has an interesting flavor, and I must I dig it. I""m not a big fan of mexican rice so I didn't partake in eating it, however the fan of mexican rice at the table liked it, (but not as much as the fajitas) 

Conclusion - Excellent Staff, Great Food (Its Tex-Mex..not just Mex so bare that in mind. There is a difference!) Atmosphere reminds me of some place that would be placed in a Tarantino film. Price is average sit down if not a little high. Expect 2 people = over 30 dollars.",5,4,4,4,4,2,3,3,4
"The vibe exuding from this place is pure awesomeness. Reminiscent of a trendy hipster coffee joint, this is actually a casual vegan restaurant. 

I am a pescatarian and unless I am eating seafood, I steer clear of meat, even the mock kind usually however once in a while it's delicious... so why try it here at Green I thought. The menu's style is comfort food, which as we all know traditionally is heavy on the meat, sauces, and fat content... so at least if you're going to be bad, you can do it with organic and pure ingredients.


So as I wanted to sample as much of the menu as possible, my lovely friend, her fiance, and I shared a few items:

*Artichoke Gratine: The corn chips were amazing, lightly salted and crisp. The dip was a bit too garlicky and runny for my liking. Ate a few bites of this but could not see myself eating the entire thing solo.

*Spicy Buffalo ""Wings"": first things first... do not let looks dismay you... true it looks gross but they taste legit! The flavor of the buffalo sauce was perfect, although could have been spicier. And the cucumber ranch dipping sauce was perfectly creamy and lightly flavored as to not overpower the ""wings"". This dish is a must try!!

*Vegan Chili Fries: the fries are thin cut and tasty. The chili sauce was good, at first, but I quickly got sick of the flavor. This could be because I was never a huge chili fan even back when I ate meat. Hmm, I think you are better off ordering the thyme fries.

*Crab Puffs: Perfectly crisp with a delicious creamy filling. Another must try!

Lastly my friend's fiance ordered that day's special which was a green chili burrito... delicious and huge. A bit too much rice but besides that a great option. It came with a side, which he ordered the curry pasta salad, mmm.


Green serves bowls, sandwiches, pizzas, salads... next time I am back in the area I will be checking out more of the menu when craving ""meat"" and not my usual tofu, seafood, veggie diet.  

Might I add the service is friendly. Perfect place for a casual friend date.",4,4,4,4,4,4,4,4,4
"One star is far more than they deserve.  The owner of the property spent an excessive amount of time barking out reminders of hotel policy, was rude to guests and his staff.  The stay here felt more like being in prison with the warden constantly in your face.  People in the group that stayed were locked out of the room by management, forced to pay made up fines.  The owner ruined the entire experience.  If this is how customers are treated, this place won't be around long.",1,1,2,1,1,1,2,1,1
"Everything here is awesome! I love the Kung Pao shrimp and the Hong Kong soup which has wontons and and egg noodles they make in house. The soup they bring out before your meal is delicious as well. Everything tastes made to order, always fresh never greasy, and is presented beautifully. The staff is very friendly and attentive. Definitely try this place! It's a regular lunch spot for my office. They also have great lunch specials. :)",5,5,5,5,5,4,5,5,5
"One of my favorite places to go with the kids for lunch.  Bring a small amount of $ - grab yourself a table under the trees and enjoy the afternoon away while your kids play within eyesight.  The entire ""patio"" is really a large, fenced grassy, tree filled area with 2 volleyball courts, multiple gathering areas, ping pong, horse shoes, jumbo checkers and even another fenced in area full of sand and toys for the kids.",5,3,3,5,4,3,4,5,5
"I like Buffalo. They always buy my stuff, and I like looking around at what they have. 
 
I think the reason a lot of people don't like this place is because they try to sell ugly nasty shit that no one wants to wear. It's a recession, so, you're not going to get top dollar for your J Crew tee shirts that you bought 4 years ago that have pit stains and are hideous. Duh.",4,2,2,5,5,2,2,2,3
